Pair,D,I,Expansion,Stability,Unfilling,p_D,p_I,p_Expansion,p_Stability,p_Unfilling
z6_z9,0.647843638,0.772486851,0.097908999,0.902091001,0.033056231,0.02970297,0.069306931,0.297029703,0.297029703,0.00990099
z7_z10,0.125050405,0.219520471,0.159409635,0.840590365,0.220876232,0.356435644,0.386138614,0.267326733,0.267326733,0.188118812
z7_z11,0.063494767,0.1329172,0.227444923,0.772555077,0.337032062,0.544554455,0.504950495,0.336633663,0.336633663,0.336633663
z7_z12,0.048056496,0.089289431,0.324551671,0.675448329,0.744432941,0.455445545,0.475247525,0.445544554,0.445544554,0.475247525
z7_z13,0.159029275,0.381827015,0,1,0.534938999,0.069306931,0.03960396,0.138613861,0.138613861,0.079207921
z7_z14,0.369847396,0.541111944,0.07735003,0.92264997,0.007631662,0.148514851,0.178217822,0.02970297,0.02970297,0.059405941
z7_z8,0.137933044,0.293706249,0.239826315,0.760173685,0.060464268,0.445544554,0.425742574,0.237623762,0.237623762,0.247524752
z7_z9,0.059272432,0.16759079,0.286363111,0.713636889,0.048200028,0.534653465,0.485148515,0.346534653,0.346534653,0.00990099
z8_z10,0.235185149,0.359895858,0.031121762,0.968878238,0.222233522,0.188118812,0.227722772,0.188118812,0.188118812,0.069306931
z8_z11,0.435842949,0.57297553,0.001882403,0.998117597,0.129790339,0.069306931,0.089108911,0.04950495,0.04950495,0.079207921
z8_z12,0.374422683,0.598675553,0.005320079,0.994679921,0.212926368,0.118811881,0.108910891,0.217821782,0.217821782,0.207920792
z8_z13,0.024900312,0.128573279,0,1,0.754863776,0.306930693,0.297029703,0.326732673,0.326732673,0.287128713
z8_z14,0.160350683,0.246771039,0.164512671,0.835487329,0.128246449,0.425742574,0.455445545,0.217821782,0.217821782,0.118811881
z8_z9,0.302820999,0.452133236,0.06437282,0.93562718,0.098864597,0.128712871,0.128712871,0.118811881,0.118811881,0.00990099
z9_z10,0.096005743,0.154605933,0.103900287,0.896099713,0.412158464,0.386138614,0.386138614,0.059405941,0.059405941,0.316831683
z9_z11,0.632411991,0.765811703,0.044614998,0.955385002,0.320590254,0.03960396,0.069306931,0.00990099,0.00990099,0.306930693
z9_z12,0.025257924,0.062269959,0.136709609,0.863290391,0.64429696,0.356435644,0.336633663,0.059405941,0.059405941,0.396039604
z9_z13,0.002721388,0.048001906,0,1,0.833844831,0.158415842,0.118811881,0.01980198,0.01980198,0.336633663
z9_z14,0.112836817,0.170607686,0.150062976,0.849937024,0.157372479,0.603960396,0.653465347,0.00990099,0.00990099,0.425742574
